YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2015,10,104177,17795,cargurus.com
2023,2,10136,55988,cargurus.com 
2025,0,11,99065,cargurus.com
2014,11,92343,14599,cargurus.com
2014,11,60113,8480,cargurus.com
2016,9,61541,21002,cargurus.com
2019,6,63541,16495,cargurus.com
2016,9,93007,19995,cargurus.com
2013,12,68933,13998,cargurus.com
2017,8,57113,20998,cargurus.com
2008,17,101460,12495,cargurus.com
2021,4,73854,26482,cargurus.com
2013,12,55262,6991,cargurus.com
2020,5,90529,12533,cargurus.com
